Date,Time PST,Air Temp °F, 2<sup>nd</sup> Air Temp °F, Dew Point °F, Rel Hum %, Leaf Wet u., Wind Dir @ Speed mph, Wind Gust mph, 8 in. Soil Tmp °F, Tot Prec in, Solar Rad W/m², Atm. Press. inHg,Location,Station ID,Station Name,Download Timestamp
2000-09-20,00:15,53.3,,36.2,52.1,0.0,SE@1.1,99999.0,74.8,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,00:30,53.3,,36.9,53.5,0.0,S@1.7,99999.0,74.8,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,00:45,53.1,,38.9,58.4,0.0,S@1.4,99999.0,74.8,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,01:00,51.5,,39.8,64.3,0.0,SW@1.5,99999.0,74.7,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,01:15,51.2,,39.5,64.0,0.0,SW@0.5,99999.0,74.6,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,01:30,51.0,,38.3,61.6,0.0,S@0.7,99999.0,74.5,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,01:45,51.2,,39.3,63.6,0.0,S@1.0,99999.0,74.5,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,02:00,50.2,,39.9,67.5,0.0,S@0.7,99999.0,74.6,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,02:15,49.7,,39.4,67.6,0.0,E@0.5,99999.0,74.4,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,02:30,49.6,,39.8,68.9,0.0,SE@0.6,99999.0,74.4,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,02:45,49.2,,41.3,74.1,,SE@0.5,99999.0,74.3,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,03:00,49.6,,42.6,76.8,,S@0.5,99999.0,74.2,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,03:15,49.0,,41.3,74.6,,NE@0.5,99999.0,74.2,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,03:30,48.5,,41.7,77.1,,SE@0.9,99999.0,74.1,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,03:45,47.8,,41.7,79.2,,SW@0.6,99999.0,74.0,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,04:00,48.4,,42.9,81.1,,SE@0.4,99999.0,74.0,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
2000-09-20,04:15,47.9,,42.7,82.0,,S@1.2,99999.0,74.0,0.0,0,,"WSU Tri-Cities (WSU TC), Richland, Benton County",100148,WSU Tri-Cities (WSU TC),2017-11-21 01:51:19.773048
